,City,Title,Company,Location,Job Summary,Salary
22,Washington D.C.,Undergraduate Internship/Co-op Program - Data Scientist,Central Intelligence Agency,"Washington, DC",Students serving as Data Scientist interns work side-by-side with other data scientists using advanced hardware and software to create and develop computational...,36800.0
128,Washington D.C.,Supervisory Operations Research Analyst,Department of Health And Human Services,"Silver Spring, MD","Develops alternative options to resolve complex data analysis. The Division of Quality Intelligence, Risk Analysis, and Modeling includes components that work...",146833.5
242,Washington D.C.,Data Scientist,Metropolitan Police Department,"Washington, DC","Or data visualization and interaction. The Data Scientist position is assigned to the Metropolitan Police Department (MPD), Executive Office of the Chief of...",86711.0
278,Washington D.C.,Facilities Intern,Natural Resources Defense Council,"Washington, DC","Maintain data bases, paper and electronic filing systems. The Natural Resources Defense Council (NRDC) is the nation's most effective environmental action group...",24000.0
317,Washington D.C.,"Research Physical Scientist, AST, Atmospheric Chemistry and...",National Aeronautics and Space Administration,"Greenbelt, MD","Utilization of satellite data to test existing models; As Research Physical Scientist, specializing in Atmospheric, Chemistry and Dynamics, you will conduct...",120212.5
430,Washington D.C.,"Real Estate and Urban Planning Research Analyst (12726, Grad...",The Maryland-National Capital Park and Planning Co...,"Silver Spring, MD 20902","Experience with Costar and other real estate data sources. The Research and Special Projects Division (R&SP) is responsible for demographic, land use and...",79475.0
442,Washington D.C.,Statistician - Healthcare or Pharma Industry,Contingent/Direct Consultants,"Gaithersburg, MD 20877","Experience of Development, program design and data analysis and interpretation. B&I drives good design to generate the data needed for quality decision making....",150000.0
671,Washington D.C.,Data Scientist,Central Intelligence Agency,"Washington, DC","Data Scientists organize and interpret Big Data to inform US decision makers, drive successful operations and shape CIA technology and resource investments....",91066.0
773,Washington D.C.,Data Scientist,Piper Companies,"Reston, VA 20190","Responsibilities for the Lead Data Scientist include:. Work with Data Governance Board to create dataset requirements, manage data definitions and schemas and...",210000.0
791,Washington D.C.,Data Scientist - OUSD(I)-HCMO-DCIPS,Red Gate Group,"Arlington, VA","Data Scientist (full-time contract). Under this task, the Data Scientist contractor shall:. Data Analysis / IT Requirements:....",112500.0
800,Washington D.C.,Apps Developer,Central Intelligence Agency,"Washington, DC","Big Data concepts and technologies such as Apache Hadoop, Apache Hive, Solr, Cloudera, MapReduce, R, Spark, Kafka, NiFi and the ELK(ElasticSearch, Logstash...",90936.0
866,Washington D.C.,Payroll Support Associate at EPA,Oak Ridge Associated Universities,"Washington, DC",Performing data entry in various ORD and Agency financial systems; Research is conducted in a broad range of environmental areas by scientists in EPA...,35200.0
986,Washington D.C.,IFG Data Scientist Whiz!,Interface Financial Group (IFG),"Bethesda, MD","Data Scientists need to analyze financial data, predict future trends, and isolate unexpected correlations. We have data and we need to identify key predictors....",120000.0
992,Washington D.C.,Data Scientist,National Geospatial-Intelligence Agency,"Springfield, VA","Data Scientist **AMENDED**. Data Management, Data Engineering, Data Science, Computer Science, Software Engineering, Statistics, Applied Mathematics, Applied...",90941.0
993,Washington D.C.,Staff Fellow (Mathematical Statistician),Department of Health And Human Services,"Rockville, MD",You will use statistical and mathematical methods to analyze and draw inferences from data submitted by animal drug applicants and to facilitate the Center...,101477.0
1025,Washington D.C.,Operations Research Analyst,Department of the Treasury,"Washington, DC","Determining the types of data to be collected, formulating study methodologies, assisting functional activities in the implementation of operational segments...",109015.0
1072,Washington D.C.,Mathematicians - Entry/Mid-Level,National Security Agency,"Fort Meade, MD","These include, but are not limited to cryptography, data mining, temporal analysis and forecasting, signals analysis, speech and text processing, coding theory,...",77025.0
1073,Washington D.C.,Mathematical Statisticians - Entry/Mid-Level,National Security Agency,"Fort Meade, MD","These include, but are not limited to, problems in cryptography, data mining, predictive and explanatory modeling, temporal analysis and forecasting, signals...",77025.0
1117,Washington D.C.,"2017-07-10 IT Program Manager Earning $$213,000",EMF Industries,"McLean, VA","Our talented group of Data Scientists, Developers, PMs, and Designers seeks an IT Program Manager to augment our capabilities....",213000.0
1119,Washington D.C.,Research Analyst (Vaccines),Johnson Service Group Inc.,"Rockville, MD 20850","Provide effort & cost benchmarking & insights of data to R&D upper management. The Benchmark role needs the knowledge of GrantPlan, eTrack SVT, & InForm data...",78400.0
1158,Washington D.C.,Operations Research Analyst,Federal Aviation Administration,"Washington, DC","Business Component: Associate Administrator for Aviation Safety, Unmanned Aircraft Systems Integration Office, Research Division, AUS-300 Duties The",97825.0
1219,Washington D.C.,Senior Data Engineer,Piper Companies,"Reston, VA 20190","Collaborate with a team of other data engineers, data scientists, and business subject matter experts to process data and prepare data sources....",195000.0
1279,Washington D.C.,"Interdisciplinary, GS-0101,0180,0801,1550-12/13, Census-DE-S...",Department of Commerce,"Washington, DC 20230 (Downtown area)",Assisting with organizing and analyzing research data. Collecting behavioral data in a laboratory or field setting....,101477.0
1337,Washington D.C.,Senior Product Manager,Catalist,"Washington, DC","Conversant understanding of relational data and analytic data warehouses. Catalist is home to a dedicated, creative team of technologists, data scientists and...",85000.0
1344,Washington D.C.,Senior Data Scientist,Piper Companies,"Reston, VA 20190","Responsibilities for the Lead Data Scientist include:. Work with Data Governance Board to create dataset requirements, manage data definitions and schemas and...",210000.0
1399,Washington D.C.,"Recent Graduate Survey Statistician, GS-1530-7/9/11, (Public...",Department of Commerce,"Washington, DC 20230 (Downtown area)","Analyze and evaluate data. Assist in data collection operations. Or in the social sciences including demography, history, economics, social welfare, geography,...",65700.5
1447,Washington D.C.,Environmental Scientist - Water Resources Management,WSSC,"Laurel, MD 20707","Ability to plan and direct the work of professional engineers and scientists; Monitoring, modeling, environmental data management, point and non-point source...",95396.5
1448,Washington D.C.,Data Scientist - Mid-Level,National Security Agency,"Fort Meade, MD","Exploit, fuse and use data and data sources. Analyze data using mathematical/statistical methods. Such as calculus, differential equations, discrete mathematics...",92498.5
1487,Washington D.C.,Operations Research Analyst,Department of Defense,"Arlington, VA","Using statistical analysis techniques in order to lead and develop analysis plans, data collection plans and final reports to ensure analytical standards have...",128825.0
1490,Washington D.C.,Statistical Data Analyst - US Citizen,PeopleTek,"Bethesda, MD","STATISTICAL DATA ANALYST*.  Extract insights from data, present recommendations that enable data-driven decisions....",65000.0
1510,Washington D.C.,Analytic Methodologist,Central Intelligence Agency,"Washington, DC","They also partner with substantive experts and data scientists to develop and prototype new methodological approaches and tools, applying them in novel ways to...",72951.0
4160,New York,"Data Specialist, Bureau of Systems Strengthening and Access",DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","Experience and the ability to conduct evaluation and data management activities including, data entry, data analysis and data reporting....",65600.0
4203,New York,Data Manager/Statistician,Stony Brook University,"Stony Brook, NY","Compliant data analysis. Biostatistics and data management; Survival analysis, longitudinal data analysis, survey data analysis, etc.);...",57000.0
4217,New York,"Scientist, Bureau of Environmental Sciences and Engineering",DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY",-Supporting the development and implementation of the New York City Drinking Water Surveillance Program and Recreational Water Program by assisting senior...,62693.0
4237,New York,Climate and Sustainability Analyst,DEPT OF ENVIRONMENT PROTECTION,"New York, NY",Knowledge and practical application of quantitative statistical analysis and geographical data interpretation methods....,65977.0
4242,New York,"Data Analyst, Bureau of Immunization/Immunization Surveillan...",DEPT OF HEALTH/MENTAL HYGIENE,"New York, NY",-Conduct geographic analysis using CIR data. Experience in querying and manipulating large volume of healthcare data....,68000.0
4283,New York,Data Scientist,ACROSTAFF,"Albany, NY",Senior Data Scientist with expertise supporting Real World Insight projects for Healthcare/Medical organization....,192000.0
4316,New York,"Criminal Justice Analyst, Bureau of Mental Health",DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","Develop expertise in Maven, and other available data and health management systems and information to extract data for analysis, build and configure re...",79249.5
4473,New York,"Research Analyst , Bureau of HIV/AIDS Prevention and Control",DEPT OF HEALTH/MENTAL HYGIENE,"New York, NY",And a general appreciation for data quality. -Assume leadership role in data management and analysis. Two years as a City Research Scientist Level I can be...,78790.5
4503,New York,"Research Analyst, Policing and SUMH",Vera Institute of Justice,"New York, NY 10279 (Financial District area)",Collecting and analyzing data; Interest and/or previous experience working on data visualization tools; Experience managing and analyzing data and program...,42500.0
4523,New York,Research Assistant I,GUTTMACHER,"New York, NY","Research Associate, Senior/Principal Research Scientist. Depending on qualifications and workflow, duties may include assisting with survey fielding,...",40000.0
4536,New York,"Senior Research Analyst, Bureau of Maternal Infant and Repro...",DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","Perform data analyses for routine reports, data requests, evaluation projects, surveillance projects and other special epidemiologic analyses....",90615.0
4625,New York,"Environmental Analyst, Bureau of Environmental Surveillance...",DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY",Completing data checks and documentation for routine and custom data reports. Working with analytics team members to improve data quality and report tracking....,62693.0
4702,New York,"Researcher/Data Analyst, Bureau of Mental Health",DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","Conduct analysis on both survey data and on large administrative datasets (such as SPARCS data, Vital Stats data, program data) to evaluate outcomes, program...",75557.5
4730,New York,Data Scientist,First Derivatives,"New York, NY 10022 (Midtown area)","Data Scientists explore vast amounts of information to detect patterns, trends and correlations that enable businesses to improve their products, services and...",75000.0
4750,New York,"City Research Scientist, Bureau of Environmental Sciences an...",DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","-Assist in collecting, analyzing, interpreting and reporting Learn to Swim Program data. -Facilitate the administration and collection of all research...",53600.0
4773,New York,Director of Research and Analysis,BOARD OF CORRECTION,"New York, NY","The Board’s research team conducts primary and secondary research and analysis, using its unbridled access to the DOC’s data, policies and jails as its rich...",75557.5
4778,New York,"Panel Maintenance Analyst, World Trade Center Health Registr...",DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY","-Assisting in survey intake, data capture processes, data cleaning and outreach for Registry follow-up surveys and ancillary studies....",65977.0
4781,New York,AVP - Business Management and Data Analysis,Mission Staffing,"New York, NY 10038 (Financial District area)","Data Analyst opening at Top Fund! Management, providing regular direct contact with the Director of Data. The Business Analysis role extends the foundations of...",113000.0
4793,New York,Data Scientist,ELSolutions,"New York, NY","Data Scientist/ Data Engineer/ Big Data Engineer*. HDFS, SQL, Python, Scala, Data Bricks:. Our NYC client has a 6 month + contract position for a skilled and...",156000.0
4796,New York,Research and Policy Analyst,DEPT OF CITYWIDE ADMIN SVCS,"New York, NY","Use data findings to propose adjustments to workflow and strategies; Collect, maintain, and analyze data and information related to energy programs;...",65977.0
4855,New York,Office Manager,AiCure,"New York, NY","Learn how we combine machine learning, computer vision and big data (video):. You'll work with scientists, engineers, designers, and medical doctors, to create...",45000.0
4897,New York,"Senior Policy Analyst, Bureau of Children, Youth, and Famili...",DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and ""2"" above....",75557.5
4901,New York,DIRECTOR OF COORDINATED ENTRY,HRA/DEPT OF SOCIAL SERVICES,"Manhattan, NY",Reviews automated data systems to understand data collected and to propose system enhancements that will support research and performance evaluation activities....,85905.0
4970,New York,"Research Scientist, Bureau of Veterinary and Pest Control Se...",DEPT OF HEALTH/MENTAL HYGIENE,"Manhattan, NY",A general appreciation for data quality. Create visualizations and presentations summarizing program data. Two years as a City Research Scientist Level I can be...,90981.0
5018,New York,Data Scientist,MetroPlus Health Plan,"New York, NY","The Data Scientist will be tasked with leading data science projects to discover the information hidden in vast amounts of data, and help us make smarter...",102500.0
5088,New York,Environmental Health & Safety Auditor,DEPT OF ENVIRONMENT PROTECTION,"Queens, NY",Ability to collect and analyze relevant data on spreadsheets. Two years as a City Research Scientist Level I can be substituted for the experience required in...,90981.0
5107,New York,"Provider Specialist, Bureau of HIV/AIDS Prevention and Contr...",DEPT OF HEALTH/MENTAL HYGIENE,"Queens, NY","Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and ""2"" above....",65977.0
